| event_message                                                                                                                                                        | id                                   | identifier           | method | path                                                      | status_code | timestamp        |
| -------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------ | -------------------- | ------ | --------------------------------------------------------- | ----------- | ---------------- |
| DELETE | 404 | 34.45.57.179 | 930f83563a80140a | https://rrqefsxymripcvoabers.supabase.co/auth/v1/admin/users/e33bce42-6d8b-46ec-81c2-434bc5ad1917 | node            | 1614af89-19cd-46b9-bf45-b5f47d9870fd | rrqefsxymripcvoabers | DELETE | /auth/v1/admin/users/e33bce42-6d8b-46ec-81c2-434bc5ad1917 | 404         | 1744762786699000 |
| DELETE | 404 | 34.45.57.179 | 930f83535a950012 | https://rrqefsxymripcvoabers.supabase.co/auth/v1/admin/users/e33bce42-6d8b-46ec-81c2-434bc5ad1917 | node            | 8b63e522-451d-482a-b926-6f856bf3165f | rrqefsxymripcvoabers | DELETE | /auth/v1/admin/users/e33bce42-6d8b-46ec-81c2-434bc5ad1917 | 404         | 1744762786223000 |
| DELETE | 200 | 34.45.57.179 | 930f835069b47073 | https://rrqefsxymripcvoabers.supabase.co/auth/v1/admin/users/e33bce42-6d8b-46ec-81c2-434bc5ad1917 | node            | 92da4a81-283c-4603-a42a-c3a707221e88 | rrqefsxymripcvoabers | DELETE | /auth/v1/admin/users/e33bce42-6d8b-46ec-81c2-434bc5ad1917 | 200         | 1744762785757000 |
| GET | 406 | 34.45.57.179 | 930f834daff47073 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/users?select=*&auth_id=eq.e33bce42-6d8b-46ec-81c2-434bc5ad1917 | node | 0a7fdc4b-b42b-4ad4-abe3-b61dc22f055c | rrqefsxymripcvoabers | GET    | /rest/v1/users                                            | 406         | 1744762785326000 |
| POST | 403 | 34.45.57.179 | 930f834aef127073 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/users?select=* | node                                                | 65ecf4ad-a9fc-428f-8531-a34adb305b4d | rrqefsxymripcvoabers | POST   | /rest/v1/users                                            | 403         | 1744762784889000 |
| PUT | 200 | 34.45.57.179 | 930f8347ccf77073 | https://rrqefsxymripcvoabers.supabase.co/auth/v1/user | node                                                           | dcf7690b-ff1a-409c-a6fc-d95d51039b9c | rrqefsxymripcvoabers | PUT    | /auth/v1/user                                             | 200         | 1744762784384000 |
| POST | 200 | 34.45.57.179 | 930f834469b97073 | https://rrqefsxymripcvoabers.supabase.co/auth/v1/signup?redirect_to=http%3A%2F%2Flocalhost%3A3000%2Flogin | node      | 8222846e-ffc5-4243-b8af-a3642daa1586 | rrqefsxymripcvoabers | POST   | /auth/v1/signup                                           | 200         | 1744762783950000 |
| GET | 406 | 34.45.57.179 | 930f83414f007073 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/users?select=*&username=eq.xelayah326 | node                          | a46a9c38-8500-4245-9cb2-b8fe680e8e81 | rrqefsxymripcvoabers | GET    | /rest/v1/users                                            | 406         | 1744762783396000 |
| DELETE | 404 | 34.45.57.179 | 930f79f7cf686209 | https://rrqefsxymripcvoabers.supabase.co/auth/v1/admin/users/ba9a8bad-eee4-4ed0-8b48-b32d7cde773c | node            | 6c37fe34-2a6c-47fd-bc54-904d56ed97f1 | rrqefsxymripcvoabers | DELETE | /auth/v1/admin/users/ba9a8bad-eee4-4ed0-8b48-b32d7cde773c | 404         | 1744762402948000 |
| DELETE | 200 | 34.45.57.179 | 930f79f4cb1eeafb | https://rrqefsxymripcvoabers.supabase.co/auth/v1/admin/users/ba9a8bad-eee4-4ed0-8b48-b32d7cde773c | node            | 8d24091c-f978-4726-be6a-283be7010b4f | rrqefsxymripcvoabers | DELETE | /auth/v1/admin/users/ba9a8bad-eee4-4ed0-8b48-b32d7cde773c | 200         | 1744762402465000 |
| POST | 403 | 34.45.57.179 | 930f79f1fb34eafb | https://rrqefsxymripcvoabers.supabase.co/rest/v1/users?select=* | node                                                | 03bdce1f-27ba-4aab-bb60-b695e7ac046b | rrqefsxymripcvoabers | POST   | /rest/v1/users                                            | 403         | 1744762402032000 |
| PUT | 500 | 34.45.57.179 | 930f79eeea6aeafb | https://rrqefsxymripcvoabers.supabase.co/auth/v1/user | node                                                           | ea9e15a1-ee82-402c-b2c3-6fafaf71a606 | rrqefsxymripcvoabers | PUT    | /auth/v1/user                                             | 500         | 1744762401521000 |
| POST | 200 | 34.45.57.179 | 930f79eb7ef4eafb | https://rrqefsxymripcvoabers.supabase.co/auth/v1/signup?redirect_to=http%3A%2F%2Flocalhost%3A3000%2Flogin | node      | f708a030-6f67-479f-8208-1f375b291fa7 | rrqefsxymripcvoabers | POST   | /auth/v1/signup                                           | 200         | 1744762401089000 |
| GET | 406 | 34.45.57.179 | 930f79e86cd8eafb | https://rrqefsxymripcvoabers.supabase.co/rest/v1/users?select=*&username=eq.xelayah326 | node                          | 2d35455e-eaaf-4de9-8033-a27275fa09e7 | rrqefsxymripcvoabers | GET    | /rest/v1/users                                            | 406         | 1744762400533000 |
